lattes id;coordenador;ano inicio;ano fim;titulo
9279970444599822;;2020;Atual;TRANSCENDER: METAVERSO COMO RITUAL DE MEMÓRIAS, AFETOS E RESSIGNIFICAÇÃO DA PRESENÇA
6053030157161952;Glaucio da Cruz Genuncio;2017;Atual;Técnicas e tecnologias no cultivo de plantas hortícolas em Mato Grosso
6686078501319538;Ênio Farias de França e Silva;2011;2013;USO DE REJEITO DE DESSALINIZADRES E ÁGUA SUBTERRÂNEA SALINA NA PRODUÇÃO HIDROPONICA DE HORTALIÇAS
1996730931772855;Mário Monteiro Rolim;2008;2010;Viabilidade técnica e econômica do uso de rejeito de dessalinizadores em hidroponia NFT para produção agrícola no semi-árido brasileiro (DESSALI)
8161117990997275;Isaias Ferreira de Mendonça;2001;Atual;Estudo Nutricional da Alface Cultivada Hidroponicamente em Diferentes Soluções Nutritivas
7406267601146158;Osmar Souza dos Santos;2003;2004;TECNOLOGIA PARA PRODUÇÃO DE TOMATE EM HIDROPONIA
459747956580928;Sérgio Antonio Lopes de Gusmão;2009;2010;Cultivo de alface americana em hidroponia: efeito de aplicações foliares de boro na formação de cabeças comerciais
4858219292242433;Claudinei Fonseca Souza;2014;2016;Viabilidade da utilização de água de reuso no cultivo hidropônico de alface (Lactuca sativa L.)
1900191813995077;Helder Cesar dos Santos Pinto;2012;2013;CCRESCIMENTO DE ALFACE EM SISTEMA HIDROPÔNICO TIPO NFT EM BANCADA INDIVIDUAL.
1062179775650592;Wady Lima Castro Junior;2014;2015;Produtividade de alface (Lactuca sativa L.) hidropônica em função de diferentes dosagens de solução nutritiva - Sistema NFT
1144266495720148;Ênio Farias de França e Silva;2010;2012;Hidroponia com rejeito de dessalinizadores e com águas subterrâneas salobras para produção de agrião e acelga
1144266495720148;Ênio Farias de França e Silva;2006;2010;Reúso de águas de qualidade inferior para aproveitamento hidro-agrícola
8741531993865421;Hans Raj Gheyi;2019;Atual;Cultivo hidropônico de hortaliças folhosas utilizando soluções nutritivas preparadas com águas salobras à diferentes temperaturas
8741531993865421;Hans Raj Gheyi;2010;2014;Uso de águas de qualidade inferior para produção de girassol ornamental em diferentes sistemas de cultivo
8741531993865421;Vital Pedro da Silva Paz;2008;2012;Utilização de águas salobras no cultivo de hortaliças em sistema hidropônico como alternativa agrícola ao semi-árido brasileiro
4254371904724697;;2006;2007;Utilização do cultivo hidropônico do tipo NFT no processo de reaproveitamento de efluentes como fetirrigação.
9412345500207769;Maria Aparecida Nogueira Sediyama;2014;2018;Produção e qualidade de pimentão e pepino em sistema hidropônico - NFT
9412345500207769;JOSÉ GERALDO BARBOSA;2001;2004;Cultivo hidropônico de quatro variedades de Lisianthus, em sistema NFT, sob diferentes soluções nutritivas.
9412345500207769;Maria Aparecida Nogueira Sediyama;1998;2000;Seleção de variedades de alface para cultivo protegido em sistema hidropônico
4191716426683312;;2012;2018;Cultivo sem solo de hortaliças (Projeto)
8252812532043519;Marinalva Woods Pedrosa;2000;2004;Queima das bordas das folhas em alface em cultivo hidropônic
8252812532043519;Maria Aparecida Nogueira Sediyama;1998;2000;Seleção de variedades de alface para cultivo protegido em si
6249289869696657;Roberta Marins Nogueira Peil;2007;2008;Acúmulo de matéria seca e teores de nutrientes em plantas de morangueiro cultivadas em sistemas de cultivo sem solo
6249289869696657;Roberta Marins Nogueira Peil;2004;2007;Cultivo sem solo de hortaliças. Recirculação dos lixiviados no cultivo sem solo de hortaliças numa perspectiva agroecológica
2427136775530873;José Geraldo Barbosa;2000;2006;Cultivo hidroponico de quatro variedades de Lisianthus em sistema NFT, sob diferentes soluções nutritivas
5564394768331666;Antonio Alonso Cecon Novo;2008;2009;TECNOLOGIA DE PRODUÇÃO EM CULTIVO HIDROPÔNICO EM AMBIENTE TROPICAL
