lattes id;coordenador;ano inicio;ano fim;titulo;type
6553900966729412;Ana Grasielle Dionisio Corrêa;2018.0;2020;Sistema de Auto-Reabilitação Motora Baseado em Tecnologia Wearable;VR
1577714903759296;Fabio dos Santos Gonçalves;2012.0;Atual;VRRA Um Veículo Rebocador Robótico Autonomo;VR
6689529661601171;Savio Souza Venancio Vianna;2014.0;2016;Carbon Dioxide Jet Release and Dispersion CFD Modelling using OpenFOAM;VR
9109602812218258;;2004.0;2005;ANIMAÇÃO DOS EIXOS DE UMA MÁQUINA DE MEDIR POR COORDENADAS VIRTUAL USANDO VRML E JAVA;VR
3616991101436026;Ildeberto Aparecido Rodello;2014.0;2016;A Study of User Acceptance of Virtual and Augmented Technology by Modern Current and Future Industry;VR
3616991101436026;Ildeberto Aparecido Rodello;2002.0;2008;JRVMol - Um Ambiente Virtual Colaborativo para Visualização e Análise de Moléculas de Proteínas;VR
2109581920248467;;2000.0;2001;Projeto Recém Doutor;VR
2974468153414981;;2007.0;2009;Metodologia e Aplicativo de Banco de Dados para o Desenvolvimento Virtual de Produtos;VR
2974468153414981;;2003.0;2005;Visualização Científica de Resultados em Realidade Virtual;VR
2974468153414981;José Luís Farinatti Aymone;2001.0;2007;Computação Gráfica Aplicada ao Projeto de Arquitetura e Engenharia;VR
405763452702878;Aurelio Antonio Mendes Nogueira;2006.0;2007;Estudo de soluções para visualização e simulações do projeto: Entradas, bandeiras e os símbolos paulistas em uma visão tridimensional das obras públicas de Victor Brecheret da Escultura à Arquitetura.;VR
405763452702878;Cristina G Tranjam;2005.0;2009;Visualização da Lagoa Rodrigo de Freitas RJ ? A partir de modelagem de malhas;VR
9279970444599822;;2019.0;Atual;Carnaval 4.0;VR
9919663948518178;;2013.0;2015;Avaliação da descarga de peso resultante da irradiação pela facilitação neuromuscular proprioceptiva usando as diagonais de tronco no apoio unipodal.;VR
4649814099154237;Raquel Ritter Longhi;2019.0;2020;Interface e imagens complexas nas narrativas ciberjornalísticas;VR
6662953217298028;;2018.0;Atual;Realidade Virtual (Virtual Reality - VR), Realidade Aumentada (Augmented Reality - AR) e Realidade Mista (Mixed Reality - MR). X-REALITY (VR/AR/MR) - RAINDANCE VR 2019 BRASIL EDITION;VR
6486458354619269;;2021.0;Atual;The effectiveness of virtual reality in patients with Parkinson's disease: an overview of systematic reviews.;VR
3074180949976799;Maria Elisa Pimentel Piemonte;2017.0;2018;Can choice of games influence the therapeutic results obtained by training in virtual reality for gait improvement in people with Parkinson's disease?;VR
3032638002357978;Bianchi Serique Meiguins;2004.0;2006;Visualização de Informação em Ambientes Virtuais Tridimensionais utilizando Consultas Dinâmicas;VR
