lattes id;coordenador;ano_inicio;ano_fim;titulo;Assunto
4321649532287831;Verônica Teichrieb;2010;2012;ARVS - Hybrid model based markerless 3D tracking for augmented reality and visual servoing;Realidade Aumentada
4321649532287831;Judith Kelner;2007;2011;TechPetro;Realidade Aumentada
1916245590298485;Veronica Teichrieb;2010;2011;Hybrid model based markerless 3D tracking for augmented reality and visual servoing;Realidade Aumentada
649930882307115;Francisco Carlos de Mattos Brito Oliveira;2019;Atual;Realidade Aumentada Training Arcade (ARTRADE) Ano II;Realidade Aumentada
813823100105934;Romero Tori;2007;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;Realidade Aumentada
4340581249924621;Rosa Monteiro Paulo;2019;2022;A Constituição do Conhecimento Matemático com a Realidade Aumentada;Realidade Aumentada
3355272528185691;;2019;Atual;Viajero Project;Realidade Aumentada
4794107935753176;Alvaro Joao Magalhaes de Queiroz;2012;2014;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality;Realidade Aumentada
3767009717402045;Alexandre Cardoso;2007;2012;Título: Realidade Virtual e Realidade Aumentada na Visualização da Informação;Realidade Aumentada
3683706649252319;Alexandre Cardoso;2007;2009;Realidade Virtual e Realidade Aumentada na Visualização da Informação;Realidade Aumentada
9801031941805250;Alcimar Barbosa Soares;2019;2020;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies;Realidade Aumentada
4006878042502781;Andre Schneider de Oliveira;2019;Atual;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems;Realidade Aumentada
2227324756659206;;2005;2007;Desenvolvimento e instalação de um sistema de realidade mista (Realidade Mista), em cooperação com a Universidade de Bremen (Alemanha) e o SENAI-RS, no SENAI Mecatrônica em Caxias do Sul.;Realidade Mista
4791589931798048;Esteban Walter Gonzalez Clua;2020;Atual;(CNPQ PQ1D) Deep Learning e Aprendizagem de Máquina para Interfaces Tangíveis, Imersão e Composição em Realidade;Realidade Mista
