;Instituto Federal de Educação, Ciência e Tecnologia de Goiás;Núcleo de Estudos aplicados a Redes de computadores e Sistemas ;30/01/2023;Rogério Sousa e Silva;Rogério Sousa e Silva;Ciências Exatas e da Terra;6G;Goiás
;Universidade Federal do Pará;SMART 4C - Smart Methods and Advanced Research Technologies for ;19/05/2023;Evelin Helena Silva Cardoso;Evelin Helena Silva Cardoso;Engenharias;6G;Pará
;Instituto Nacional de Telecomunicações;WOCA - Wireless and Optical Convergent Access;19/12/2022;Arismar Cerqueira Sodré Junior;-;Engenharias;6G;Minas Gerais
;Instituto de Educação Superior da Paraíba;AIDA - Grupo de Estudos em Artificial Intelligence and Data Analytics;23/09/2022;Ana Carolina Costa de Oliveira;-;Ciências Exatas e da Terra;Inteligência Artificial;Paraíba
;Universidade de Mogi das Cruzes;Análise de Dados em Saúde;30/03/2023;Ricardo da Silva Santos;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal de Santa Catarina;ArgAI - ARGumentation applied to Artificial Intelligence;07/08/2022;Alison Roberto Panisson;-;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade Federal de Uberlândia;Artificial and Machine Intelligence in Networks;16/01/2023;Murillo Guimarães Carneiro;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Federal de Alagoas;BrAIN - Brazilian Artificial Intelligence Networking in Medicine;18/06/2022;Aydano Pamponet Machado;Joao Marcelo de Almeida Gusmao Lyra;Ciências da Saúde;Inteligência Artificial;Alagoas
;Universidade Federal de Mato Grosso;Computational Bioacoustic Research Unit - CO.BRA;09/03/2023;Karl-Ludwig Schuchmann;Marinêz Isaac Marques;Ciências Exatas e da Terra;Inteligência Artificial;Mato Grosso
;Universidade Federal de Lavras;Data Science Research Group - DSRG;09/11/2022;Erick Galani Maziero;-;Ciências Exatas e da Terra;Inteligência Artificial;Universidade Federal de Lavras
;FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS;DELIA - Data Science and Artificial Intelligence Lab;22/05/2023;Leila Cristina Carneiro ;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal de Campina Grande;Desenvolvimento de Sistemas de Apoio a Decisões Sustentáveis / DeSiDeS;03/04/2023;Vanessa Batista Schramm;Vanessa Batista Schramm;Engenharias;Inteligência Artificial;Paraíba
;Universidade Estadual Paulista Júlio de Mesquita Filho;Digital Agriculture and Smart Harvest;03/02/2023;Murilo Aparecido Voltarelli;Murilo Aparecido Voltarelli;Ciências Agrárias;Inteligência Artificial;São Paulo
;Universidade Federal do Espírito Santo;FOREANALYTICS;25/06/2022;Klaus Fabian Côco;Patrick Marques Ciarelli;Engenharias;Inteligência Artificial;Espírito Santo
;Universidade Federal Fluminense;Formal methods, Artificial Intelligence, and Logic in Computer Science (FRAME);18/01/2023;Aline Marins Paes Carvalho;Aline Marins Paes Carvalho;Ciências Exatas e da Terra;Inteligência Artificial;Rio de Janeiro
;Universidade Federal de Alagoas;Group of Engineering in Decision-Making and Artificial Intelligence ;16/05/2023;Robério José Rogério dos ;Robério José Rogério dos Santos;Engenharias;Inteligência Artificial;Alagoas
;Universidade Regional do Noroeste do Estado do Rio Grande do Sul;Grupo de Pesquisa em Computação Aplicada - GCA;08/07/2022;Rafael Zancan Frantz;Sandro Sawicki;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Universidade Salvador;Grupo de Redes Ópticas e Wireless;24/03/2023;Joberto Sérgio Barbosa Martins;-;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Universidade Federal de Uberlândia;Grupo de Redes, Arquiteturas, Sistemas Operacionais e Sistemas ;23/01/2023;Pedro Frosi Rosa;Pedro Frosi Rosa;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Federal de Alagoas;ICAD - ARTIFICIAL INTELLIGENCE APPLIED TO COMPUTER-AIDED ;04/07/2022;Marcelo Costa Oliveira;Rodolfo Carneiro Cavalcante;Ciências Exatas e da Terra;Inteligência Artificial;Alagoas
;Universidade de São Paulo;InReDD - Grupo de Pesquisa Interdisciplinar em Odontologia Digital ;02/05/2023;Hugo Gaêta Araujo;Hugo Gaêta Araujo;Ciências da Saúde;Inteligência Artificial;São Paulo
;Universidade Federal do Pará;Laboratory of Applied Artificial Intelligence;07/02/2023;Filipe de Oliveira Saraiva;-;Ciências Exatas e da Terra;Inteligência Artificial;Pará
;Universidade Federal de Pernambuco;Laima - Laboratory of Artificial Intelligence and Machine  Aid;13/01/2023;Rosangela Aparecida Ferreira ;Rosangela Aparecida Ferreira Lima;Ciências Humanas;Inteligência Artificial;Pernambuco
;Instituto Federal de São Paulo;MAINLab - Main Artificial Intelligence Laboratory;12/05/2023;Cristiane Akemi Yaguinuma;Fábio José Justo dos Santos;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal de Santa Catarina;MIND.Funga - Monitoring and Inventorying Neotropical Diversity of ;21/03/2023;Elisandro Ricardo Drechsler dos ;Genivaldo Alves da Silva;Ciências Biológicas;Inteligência Artificial;Santa Catarina
;Universidade Federal de Itajubá;NOMATI - NÚCLEO DE OTIMIZAÇÃO DA MANUFATURA E DE TECNOLOGIA DA ;12/08/2022;Joao Roberto Ferreira;Joao Roberto Ferreira;Engenharias;Inteligência Artificial;Minas Gerais
;Instituto Federal do Ceará;Núcleo de Visão Computacional e Engenharia - NUVEN;18/04/2023;Thomaz Maia de Almeida;-;Ciências Exatas e da Terra;Inteligência Artificial;Ceará
;Universidade Federal do Rio Grande do Sul;Pirandello - Laboratório de Pesquisa em Ciências Sociais e Inteligência ;29/04/2023;Henrique Carlos de Oliveira de ;-;Ciências Humanas;Inteligência Artificial;Rio Grande do Sul
;Departamento de Polícia Federal;Polícia Judiciária e Inteligência Artificial;24/10/2022;Nelson Levy Kneip de Freitas Macedo;Nelson Levy Kneip de Freitas Macedo;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Universidade Federal do Recôncavo da Bahia;RAI - Robotics and Artificial Intelligence;14/09/2022;André Luiz Carvalho Ottoni;André Luiz Carvalho Ottoni;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Universidade Estadual do Tocantins;Redes Inteligentes e Sistemas Autônomos - GPRISA;24/01/2023;Joelson de Araújo Delfino;-;Ciências Exatas e da Terra;Inteligência Artificial;Tocantins
;Universidade Tecnológica Federal do Paraná;Research Group Industry 4.0 e 5.0;31/03/2023;Rui Tadashi Yoshino;Joseane Pontes;Engenharias;Inteligência Artificial;Paraná
;Universidade Federal do Pará;SMART 4C - Smart Methods and Advanced Research Technologies for ;19/05/2023;Evelin Helena Silva Cardoso;Evelin Helena Silva Cardoso;Engenharias;Inteligência Artificial;Pará
;Centro Federal de Educação Tecnológica de Minas Gerais;SORAI - Solutions in Operations Research and Artificial Intelligence;30/06/2022;Elizabeth Fialho Wanner;Elizabeth Fialho Wanner;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade de Brasília;TransLab;04/05/2023;Alba Cristina Magalhães Alves ;Alba Cristina Magalhães Alves de ;Engenharias;Inteligência Artificial;Distrito Federal
;Universidade Federal do Rio Grande do Norte; Computability, Approximate Reasoning, Ordered structures and ;16/11/2022;Benjamín René Callejas Bedregal;Benjamín René Callejas Bedregal;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Norte
;Universidade Federal do Ceará; E-TICa: Núcleo de Estudos Filosóficos em Ética e Tecnologia da Informação e ;08/02/2023;Francisca Galiléia Pereira da Silva;Francisca Galiléia Pereira da Silva;Ciências Humanas;Inteligência Artificial;Ceará
;Instituto Federal do Ceará; Grupo de Pesquisa Avançada em Redes e Automação;30/01/2023;Rodrigo Carvalho Souza Costa;Diego Aguiar Sousa;Engenharias;Inteligência Artificial;Ceará
;Universidade Federal de Mato Grosso; Grupo de pesquisa em Epidemiologia e Geoprocessamento do Araguaia ;17/04/2023;Josilene Dália Alves;Leonara Raddai Gunther de Campos;Ciências da Saúde;Inteligência Artificial;Mato Grosso
;Instituto Federal de Santa Catarina; Grupo de Pesquisas em Instrumentação e Medição Aplicada;19/03/2023;Luis Fernando Pozas;Luis Fernando Pozas;Engenharias;Inteligência Artificial;Santa Catarina
;Universidade Federal de Minas Gerais; Toxicologia Preditiva;05/02/2023;Carlos Alberto Tagliati;-;Ciências da Saúde;Inteligência Artificial;Minas Gerais
;Universidade Federal do Rio de Janeiro;#FOLKCoLAB - Colaboratório de pesquisas e práticas sobre ;22/12/2022;Juliana Horta de Assis Pinto;Juliana Horta de Assis Pinto;Ciências Sociais Aplicadas;Inteligência Artificial;Rio de Janeiro
;Universidade Federal Rural do Semi-Árido;4Vision - Grupo de Pesquisa em Visão Computacional;29/05/2022;Francisco de Assis Pereira ;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Norte
;Centro Universitário de Brasília;=ISO Justiça Processual e Desigualdade;15/11/2022;Jefferson Carlos Carús Guedes;-;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Grupo IBMEC;A expansão da tecnologia de inteligência artificial na prestação ;08/02/2023;Michele Pedrosa Paumgartten;-;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Instituto Federal de São Paulo;Ábaco;21/03/2023;Lucas Venezian Povoa;Lucas Venezian Povoa;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Estadual de Campinas;ACTlab - Grupo de Pesquisas Interdisciplinares em Arte, Ciência e ;17/01/2023;Cesar Augusto Baio Santos;-;Lingüística, Letras e Artes;Inteligência Artificial;São Paulo
;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;Agricultura Digital;26/04/2023;João Paulo Bestete de Oliveira;-;Ciências Agrárias;Inteligência Artificial;Espírito Santo
;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul;Agricultura Digital;11/05/2023;Tiago Boechel;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Universidade de Pernambuco;Ai4Life - Inteligência Artificial para Ciências da vida;14/04/2023;Anthony Jose da Cunha Carneiro ;Anthony Jose da Cunha Carneiro Lins;Engenharias;Inteligência Artificial;Pernambuco
;Universidade Estadual do Oeste do Paraná;Algoritmos;23/05/2023;Adriana Postal;Josué Pereira de Castro;Ciências Exatas e da Terra;Inteligência Artificial;Paraná
;Universidade do Estado do Rio de Janeiro;Ambientes Virtuais e Inteligentes;09/09/2022;Vera Maria Benjamim Werneck;Vera Maria Benjamim Werneck;Ciências Exatas e da Terra;Inteligência Artificial;Rio de Janeiro
;Universidade Estadual da Paraíba;Análise de Dados, Big Data, Ciência de Dados e Inteligência Artificial;17/05/2023;Marcelo José Siqueira Coutinho ;Marcelo José Siqueira Coutinho de Almeida;Ciências Exatas e da Terra;Inteligência Artificial;Paraíba
;INSTITUTO FEDERAL DO PARANA;Análise e Desenvolvimento de Sistemas em Engenharia Biomédica, ;23/03/2023;Ricardo Gouveia Teodoro;-;Engenharias;Inteligência Artificial;Paraná
