lattes id;coordenador;ano inicio;ano fim;titulo;tipo
3977760354511853;Augusto Cezar Alves Sampaio;2020;Atual;Formal analysis of blockchain components;Smart Contracts
6392597835724138;Fabricia Carneiro Roos Frantz;2022;Atual;Uso de smart contracts e blockchain na criação de mecanismos de monitoramento de soluções de integração para garantir acordos entre partes e detectar possíveis violações de contratos;Smart Contracts
1725477351660877;Roman Vitenberg;2019;2023;SmartMed: Secure and accountable sharing of medical records using smart contracts and blockchain;Smart Contracts
2212288622038633;Patrícia Vilain;2020;Atual;Uso de Testes de Aceitação como parte da Especificação de Requisitos de Smart Contracts;Smart Contracts
3644027876437753;Fabricia Carneiro Roos Frantz;2020;Atual;Uso de Smart Contracts e Blockchain na Criação de Mecanismos de Monitoramento de Soluções de Integração para Garantir Acordos entre Partes e Detectar Possíveis Violações de Contratos;Smart Contracts
1091943486026876;Fabrícia Roos-Frantz;2019;Atual;Uso de Smart Contracts e Blockchain na Criação de Mecanismos de Monitoramento de Soluções de Integração para Garantir Acordos entre Partes e Detectar Possíveis Violações de Contratos;Smart Contracts
