lattes id;ano inicio;ano fim;estado;assunto;titulo
1744732999336375;2016;2018;Ceará;Realidade Aumentada;Oficinas de Animação e Jogos Locativos como Fator de Ambientação e Integração entre os Cursos de Graduação em Design, Cinema, Computação e Sistemas e Mídias Digitais da UFC
5734518155680206;2018;2021;Rio Grande do Sul;Realidade Aumentada;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de Desenho Técnico
453892715674953;2009;2010;Distrito Federal;Realidade Aumentada;Realidade Aumentada aplicada a Métodos de Controle Servovisual para Manipuladores Robóticos
8243001226255815;2019;2021;Minas Gerais;Realidade Aumentada;Novas realidades: interfaces artísticas e construção de realidades
9999217523842385;2023;Atual;Santa Catarina;Realidade Aumentada;Modelos de realidade mista baseado em volumes tridimensionais  de acervo DICOM agregando conceitos patologicos para aplicações no ensino da medicina
9999217523842385;2020;2021;Santa Catarina;Realidade Aumentada;Percepção e desempenho da aprendizagem por meio da utilização da Realidade aumentada como ferramenta de ensino nas aulas de Ciências.
326014908040698;2017;2020;Rio de Janeiro;Realidade Aumentada;UNIDADE DE ENSINO POTENCIALMENTE SIGNIFICATIVA (UEPS) SOBRE CAMPO E CAMPO MAGNÉTICO NO ENSINO MÉDIO
8626964624628522;2003;2008;Pernambuco;Realidade Aumentada;Estudo, Projeto e Implementação de Ambientes de Realidade Combinada
649930882307115;2017;2018;Ceará;Realidade Aumentada;Artrade: Realidade Aumentada, Surdos e o ensino profissionalizante à distância
649930882307115;2016;2018;Ceará;Realidade Aumentada;TGlass - SmartGlass para ensino profissionalizante  à distância para pessoas com deficiência
3554024776201116;2020;Atual;Rondônia;Realidade Aumentada;EMPREGO DA REALIDADE AUMENTADA NO ENSINO DE GEOMETRIA ESPACIAL
6165964080419504;2020;2021;Rio Grande do Norte;Realidade Aumentada;Realidade Virtual e Realidade Aumentada no processo de concepção e apresentação de projetos urbanísticos: Reinvente seu bairro
152834093913136;2018;2019;Minas Gerais;Realidade Aumentada;Realidade aumentada no ensino de química:	desenvolvimento de objetos virtuais para aplicativo smartphone como proposta de ensino de eletroquímica
4778641486908033;2016;Atual;Paraná;Realidade Aumentada;A avaliação pré-projeto e sua contribuição na compreensão do ambiente construído pelo usuário: simulações por protótipos físicos e digitais
7143571029793493;2018;2019;Sergipe;Realidade Aumentada;REALIDADE VIRTUAL E AUMENTADA: APOIO PARA A PRÁTICA CONTEXTUALIZADA E INTERDISCIPLINAR NA EDUCAÇÃO BÁSICA, TÉCNICA E TECNOLÓGICA
5515322256604194;2017;2021;Minas Gerais;Realidade Aumentada;VISUALIZAÇÃO CARTOGRÁFICA TRIDIMENSIONAL EM TEMPO REAL APLICADA A NAVEGAÇÃO EM DISPOSITIVOS MÓVEIS
5752128941340564;2022;Atual;Rio Grande do Sul;Realidade Aumentada;Literatura Infantojuvenil Digital: Imersividade e Poéticas da Ilusão
5752128941340564;2019;2022;Rio Grande do Sul;Realidade Aumentada;Novos formatos da literatura infantojuvenil digital: Dos book apps aos livros de realidade aumentada
7887916265742855;2020;2021;Minas Gerais;Realidade Aumentada;DESENVOLVIMENTO OBJETOS DE APRENDIZAGEM EM REALIDADE AUMENTADA PARA DISCIPLINAS DE ESTRUTRURAS DE CONCRETO DO CURSO DE ENGENHARIA CIVIL
7887916265742855;2018;2020;Minas Gerais;Realidade Aumentada;DESENVOLVIMENTO OBJETOS DE APRENDIZAGEM EM REALIDADE AUMENTADA PARA DISCIPLINAS DE ESTRUTURAS DE CONCRETO DO CURSO DE ENGENHARIA CIVIL
3010497094377497;2020;2021;Mato Grosso;Realidade Aumentada;Evidences 3D
9405118016902400;2018;Atual;São Paulo;Realidade Aumentada;As narrativas imersivas em contextos multiplataforma
5998752909180697;2017;2017;Amazonas;Realidade Aumentada;Sistema de Controle de Ponto de Venda (PDV)
3122373875381348;2017;Atual;Rio de Janeiro;Realidade Aumentada;Aplicações de Realidade Aumentada para alunos com baixa visão
4226175401428037;2017;2018;Minas Gerais;Realidade Aumentada;ANÁLISE E VISUALIZAÇÃO DE OBJETOS 3D UTILIZANDO VUFORIA
1934903225521860;2013;2016;Pernambuco;Realidade Aumentada;Estudo, Avaliação e Desenvolvimento de Técnicas para Processamento de Imagens e Realidade Aumentada
148962230603842;2021;2022;Santa Catarina;Realidade Aumentada;Léxico Lúdico: o uso de Realidade Aumentada para o ensino de léxico na aprendizagem de línguas
2087785677186785;2006;2007;Rio Grande do Norte;Realidade Aumentada;Realidade Aumentada para Celular
4394162331037750;2014;2016;Rio de Janeiro;Realidade Aumentada;Interação Espacial e Ambientes Virtuais: Dispositivos, Métodos e Aplicações (Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora)
4394162331037750;2011;2015;Distrito Federal;Realidade Aumentada;Sistemas Integrados Multiprocessados para Suporte a Realidade Aumentada em Dispositivos Móveis - MRM
4394162331037750;2007;2010;Rio de Janeiro;Realidade Aumentada;Ambientes Virtuais Colaborativos Aplicados em Engenharia  (Ed. Universal CNPq)
1900481113982922;2019;2020;Sergipe;Realidade Aumentada;Desenvolvimento de Jogo Educacional com Realidade Aumentada para Auxílio no Processo Ensino-Aprendizagem de Química no Ensino Médio
1900481113982922;2018;2019;Sergipe;Realidade Aumentada;Desenvolvendo Jogos Educacionais com Realidade Aumentada (PIBIC/EM)
555490225765351;2015;2015;Rio Grande do Sul;Realidade Aumentada;CONSTRUÇÃO DE OBJETOS DE APRENDIZAGEM SEGUNDO AS PREMISSAS DO DESIGN INSTRUCIONAL, PARA UTILIZAÇÃO EM VÍDEO AULAS NA WEB TV
9202801399600456;2013;Atual;Paraná;Realidade Aumentada;Realidade Aumentada como apoio em Pesquisas Populacionais
8795066026611788;2017;Atual;Minas Gerais;Realidade Aumentada;PLAID-UNIVERCEMIG - Plataforma digital para treinamento de pessoal.
5034444360451621;2022;Atual;Bahia;Realidade Aumentada;INCITE Indústria 4.0 - Instituto de Ciência, Inovação e Tecnologia em Indústria 4.0 do Estado da Bahia
9756167788721062;2015;2016;Pará;Realidade Aumentada;Interação por Voz em Ambientes de Realidade Aumentada Móvel.
9163421021115381;2016;2021;São Paulo;Realidade Aumentada;Realidade aumentada como mecanismo de humanização da assistência em saúde no HC Criança
4340581249924621;2023;Atual;Rio de Janeiro;Realidade Aumentada;Interações e aprendizagens em dispositivos móveis com toques em tela: perspectivas a partir da educação matemática
4313837720967509;2021;Atual;Paraná;Realidade Aumentada;Metodologias Diferenciadas No Ensino Utilizando Diferentes Tecnologias Da Comunicação E Da Informação
2029488267292298;2016;2017;Rio de Janeiro;Realidade Aumentada;Realidade Aumentada e Consumo: Análise Exploratória do Aplicativo Pokemon Go
2479982770095588;2017;Atual;São Paulo;Realidade Aumentada;Tecnologias de representação
9719247117370600;2019;2023;Rio de Janeiro;Realidade Aumentada;3D SETeaching: o Ensino de Engenharia de Software utilizando Ambientes Tridimensionais
9719247117370600;2015;2019;Rio de Janeiro;Realidade Aumentada;Projeto SoftVisInt
9719247117370600;2015;2017;Rio de Janeiro;Realidade Aumentada;Prevenção da Obesidade e Promoção da Alimentação Saudável em Adolescentes de Áreas com Elevada Prevalência de Insegurança Alimentar: Atuando sobre a Alfabetização Alimentar e Fatores Psicossociais
9719247117370600;2013;2016;Rio de Janeiro;Realidade Aumentada;NoMídia: Promovendo o Uso de Novas Mídias no Acesso e Manipulação de Informações para Promoção do Conhecimento
9719247117370600;2009;2012;Rio de Janeiro;Realidade Aumentada;Tecnologias para Educação em Engenharia de Software
5909154335340519;2011;2014;São Paulo;Realidade Aumentada;Holoface: O paradigma Holográfico no Design de Interação
8479082398514293;2021;Atual;São Paulo;Realidade Aumentada;Desenvolvimento de protótipo funcional validado em ambiente relevante para Inteligência Aumentada em Redes de Valor Global
8479082398514293;2020;2021;São Paulo;Realidade Aumentada;AuQua - Garantia de Qualidade em Tarefas de Montagem baseada em Inteligência Artificial e Realidade Aumentada para Redes de Valor Global
8630348977498378;2016;Atual;Paraná;Realidade Aumentada;Emprego da Realidade Virtual e da Realidade Aumentada como Ferramentas Potencializadoras no Aprendizado.
277705848688464;2005;2007;Minas Gerais;Realidade Aumentada;Sistema Complexo Aprendente: Um Ambiente de Realidade Aumentada para Educação
4185679659611455;2019;Atual;São Paulo;Realidade Aumentada;Sistemas Avançados de Apoio ao Operador de Campo
4185679659611455;2013;2016;São Paulo;Realidade Aumentada;Sistema de Montagem Assistida por Realidade Aumentada
521761025000380;2019;2021;Paraná;Realidade Aumentada;Estudo da atividade de teste de software em sistemas com saídas complexas
521761025000380;2019;Atual;Paraná;Realidade Aumentada;Avaliação de Percepção do Usuário no Processo de Interação Humano-Computador
8718817544368644;2022;Atual;Santa Catarina;Realidade Aumentada;Construção de Materiais Educacionais com Realidade Aumentada
1592443578418038;2002;2009;Pernambuco;Realidade Aumentada;O potencial Performático e as Interfaces Hipermídias pelo viés das Estéticas Tecnológicas
878410768350416;2018;Atual;Rio Grande do Sul;Realidade Aumentada;AVAECIM ? Ambiente Virtual de Aprendizagem Experimental em Ciências e Matemática
412919715126909;2021;Atual;Mato Grosso;Realidade Aumentada;Estudos sobre Tecnologias Digitais no Ensino de Matemática: Inclusão Digital e Novas Abordagens
7514305376858192;2004;2015;Acre;Realidade Aumentada;Ambientes e Frameworks para Realidade Virtual e Aumentada
5925784315354434;2014;2015;Minas Gerais;Realidade Aumentada;ESTUDO E DESENVOLVIMENTO DE UM MODELO PARA A ELABORAÇÃO DE MATERIAL DIDÁTICO USANDO REALIDADE AUMENTADA MEDIADA POR DISPOSITIVOS MÓVEIS
9911012866860858;2017;2018;Rio de Janeiro;Realidade Aumentada;Inserções Tecnológicas em Museus de Ciência
8516604648327493;2021;2022;São Paulo;Realidade Aumentada;Protocolo integrado para documentação HBIM (Heritage Building Information Modeling) e desenvolvimento de um gêmeo digital para a gestão, conservação e divulgação do Museu Republicano
4440595486888973;2016;2019;Rio Grande do Norte;Realidade Aumentada;O uso da Realidade Aumentada na Educação Lúdica
4731132112733505;2019;2020;São Paulo;Realidade Aumentada;A gameficação como ferramenta de apoio ao processo cognitivo de crianças autistas
4571544548251124;2018;Atual;Rio de Janeiro;Realidade Aumentada;O USO DE AVATARES COMO ESTRATÉGIA DE ENGAJAMENTO E SUCESSO DOS ESTUDANTES EM CURSOS DE GRADUAÇÃO A DIST NCIA
9962559130962213;2010;Atual;Minas Gerais;Realidade Aumentada;Ambiente Temático Interativo com Realidade Aumentada para Museu de Ciência e Tecnologia
3684061144624450;2014;2016;São Paulo;Realidade Aumentada;Uso de Realidade Aumentada para visualização de informações sobre execução de edificações extraídas a partir de modelos BIM
3684061144624450;2012;2014;São Paulo;Realidade Aumentada;Utilização de realidade aumentada no processo de projeto arquitetônico: projeto centrado no usuário
1562357566810393;2005;2006;São Paulo;Realidade Aumentada;GIVA-VR (Plataformas para o Desenvolvimento de Aplicações de Realidade Virtual Imersiva e Distribuída sobre Redes de Altíssima Velocidade
1402289786010170;2012;Atual;Pará;Realidade Aumentada;LEITURA + NEUROCIÊNCIAS ­ Melhoria da Compreensão Leitora no Programa Mais Educação: Tempo, Espaço e Atividades Linguístico­Pedagógicas Inovadoras na Educação Integral
2704085730058906;2015;Atual;São Paulo;Realidade Aumentada;O MANUAL DO PROPRIETÁRIO DA EDIFICAÇÃO INCORPORANDO A REALIDADE AUMENTADA
2704085730058906;2010;Atual;São Paulo;Realidade Aumentada;A APLICABILIDADE DA REALIDADE AUMENTADA COMO FERRAMENTA DE INFORMAÇÃO NA ÁREA DE ARQUITETURA E CONSTRUÇÃO
5938003791536092;2016;2020;São Paulo;Realidade Aumentada;História e tecnologia: O uso do QR Code na disseminação histórico-cultural dos personagens ícones da história do desenvolvimento do município de Lorena-SP
5123696681613759;2005;2007;Minas Gerais;Realidade Aumentada;ECRA - Ensino de Ciências com Realidade Aumentada e Misturada
5123696681613759;2003;2005;Minas Gerais;Realidade Aumentada;Construção de Ambiente de Realidade Aumentada para o Desenvolvimento Cognitivo da Criança Surda
9016360553400035;2010;2012;Pernambuco;Realidade Aumentada;Ambiente Virtual Colaborativo com Realidade Aumentada para Modelagem e Simulação de Sistemas de Eventos Discretos
6602202569381703;2019;Atual;Rio Grande do Sul;Realidade Aumentada;Estudo comparativo de softwares de realidade aumentada para o incremento de materiais didáticos de ciências e matemática
4331004469675;2018;Atual;Minas Gerais;Realidade Aumentada;PLAID-UNIVERCEMIG DIGITAL: plataforma digital para capacitação e treinamento de pessoal na área de Operação do Sistema Elétrico da CEMIG
9907691146700229;2019;Atual;Goiás;Realidade Aumentada;Desenvolvimento de estratégias de Realidade Aumentada e Virtual para o tratamento de acrofobia, aracnofobia e claustrofobia.
1538338871689655;2016;2016;Rio Grande do Sul;Realidade Aumentada;BRTracking - Reconstrução de objetos 3D Usando Câmeras RGB-D para Blended Reality
8057011287660102;2007;2010;São Paulo;Realidade Aumentada;Tidia-Ae - Fase II
4754106250302979;2022;Atual;Maranhão;Realidade Aumentada;DESENVOLVIMENTO DE EXPERIÊNCIA EM REALIDADE AUMENTADA PARA EXPLORAÇÃO DO ACERVO AZULEJAR DO CENTRO HISTÓRICO DE SÃO LUIS
4754106250302979;2022;Atual;Distrito Federal;Realidade Aumentada;METODOLOGIA DE PESQUISA ICONOGRÁFICA E ICONOLÓGICA DE PADRÃO AZULEJAR DE FACHADA DO CENTRO HISTÓRICO DE SÃO LUÍS - Domínio Design
4754106250302979;2019;2020;Maranhão;Realidade Aumentada;Uso de marcadores fiduciais em ambientes de Realidade Aumentada adaptada ao cenário dos museus em São Luís-MA
1974791787566027;2010;2017;São Paulo;Realidade Aumentada;Uso de Visão Computacional em Sistemas de Realidade Aumentada
346488880579660;2017;Atual;Pará;Realidade Aumentada;PRO3157-2017: Realidade Aumentada aplicada ao Estudo de Cargas Móveis para Pontes Ferroviárias e Modelagem de Material Rodante
7959022285837900;2006;2008;Minas Gerais;Realidade Aumentada;Sistema Complexo Aprendente: Um Ambiente De Realidade Aumentada Para Educação
1734032782594771;2014;Atual;Rio de Janeiro;Realidade Aumentada;Wearable inteligente para apoiar a  melhoria da mobilidade em Deficientes Visuais (R$130.000,00 Edital MCTI-SECIS/CNPq Nº 84/2013 ? TECNOLOGIA ASSISTIVA)
8817591964244237;2015;2015;Pernambuco;Realidade Aumentada;Realidade Aumentada em dispositivos móveis como ferramenta auxiliar em aulas de instituições de ensino no Estado de Pernambuco
7259733398888112;2016;Atual;Santa Catarina;Realidade Aumentada;Design inclusivo: projeto de artefato para crianças com Transtorno do Espectro do Autismo (TEA)
8974163389393254;2019;2021;Minas Gerais;Realidade Aumentada;Acropolis Remix:  o livro de artista e a exposição de arte em realidade aumentada
5870097378411046;2015;Atual;Minas Gerais;Realidade Aumentada;Sistema multimodal para treinamento a distância em ambiente virtual ou de realidade aumentada destinado aos usuários de cadeiras de rodas motorizadas
6413917211782026;2023;Atual;Pernambuco;Realidade Aumentada;Monitoring and Delivering Personalised Hand Neurorehabilitation through Virtual Activities Controlled by the Neural Drive
3776300004312848;2019;2020;Distrito Federal;Realidade Aumentada;Human Robot Safe Collaboration HOSA
3776300004312848;2018;2020;Distrito Federal;Realidade Aumentada;Base Station Robotic frontplane Operation -- RBOT
3977567032725249;2020;Atual;São Paulo;Realidade Aumentada;User-Valued Innovations for Social Housing Upgrading through Trans-Atlantic Living Labs
374012247711818;2020;2021;Minas Gerais;Realidade Aumentada;Produção de Material Didático para o Ensino de Geomorfologia: atividades sustentáveis interdisciplinares nas Ciências da Terra
374012247711818;2009;2010;Goiás;Realidade Aumentada;Realidade Aumentada e Sensoriamento de Movimentos como Ferramenta de Apoio ao Ensino de LIBRAS ? Língua Brasileira de Sinais
1722113830390578;2018;Atual;Rio Grande do Sul;Realidade Aumentada;História da Arte em Realidade Aumentada
5586729353238501;2013;2014;Pará;Realidade Aumentada;Utilizando tecnologia de Realidade Aumentada para divulgação de conteúdos digitais em dispositivos móveis
7949216376138752;2017;Atual;Bahia;Realidade Aumentada;Realidade Aumentada e Realidade Virtual aplicadas à Inovação Industrial
9369447081315501;2022;Atual;Minas Gerais;Realidade Aumentada;A utilização integrada da Realidade Aumentada com o Software GeoGebra na perspectiva da aprendizagem móvel de Geometria Espacial
9109602812218258;2016;2018;Mato Grosso;Realidade Aumentada;Abelhas-das-orquídeas (Hymenoptera: Apidae: Euglossini): VIRTUALIS
3393043381118573;2011;Atual;Minas Gerais;Realidade Aumentada;CRIAÇÃO DE SOFTWARE DE AVALIAÇÃO POSTURAL EM TEMPO REAL UTILIZANDO REALIDADE AUMENTADA
9346178640224901;2015;2015;São Paulo;Realidade Aumentada;Interatividade e uso de Realidade Aumentada na Educação: Criação de Objetos de Aprendizagem Lúdicos e Interativos para a Educação Infantil
8801732223393153;2020;2021;Distrito Federal;Realidade Aumentada;Portal interativo para informações turísticas: uma contribuição geográfica para consolidação de Campina Grande como cidade inteligente
1478736054440106;2019;2020;Minas Gerais;Realidade Aumentada;Realidade aumentada aplicada à tomada de decisão em manutenção: desenvolvimento de um produto com fins educacionais
6294967085470113;2009;2012;Bahia;Realidade Aumentada;Um Modelo Computacional para Simulação e predição de cirurgias craniofaciais em ambiente de realidade aumentada
9894979508465212;2016;2018;Pernambuco;Realidade Aumentada;TURISMO E TECNOLOGIA: UTILIZAÇÃO DE CONCEITOS DE BIG DATA E INTERNET DAS COISAS NO PROCESSO DE PLANEJAMENTO E DESENVOLVIMENTO DO TURISMO
1095395084173623;2019;2020;Paraíba;Realidade Aumentada;Mobilidades e inovação em narrativas performáticas de Realidade Virtual e Realidade Aumentada em organizações jornalísticas tradicionais e plataformas nativas digitais
1095395084173623;2018;2019;Paraíba;Realidade Aumentada;Narrativas baseadas em Realidade Aumentada e Realidade Virtual em contexto de inovação no jornalismo
1095395084173623;2017;2018;Paraíba;Realidade Aumentada;Narrativas inovadoras em videos 360 Graus no Jornalismo Imersivo de Realidade Virtual-Aumentada-Mista
7757325848359241;2013;2013;Rio Grande do Norte;Realidade Aumentada;Desenvolvimento de uma plataforma integrada de marketing digital e realidade aumentada para eventos
7830251697546483;2020;2021;Rio Grande do Sul;Realidade Aumentada;O uso de Laboratório Remoto e Realidade Aumentada para apoiar a aprendizagem experiencial em Física
7830251697546483;2020;Atual;Rio Grande do Sul;Realidade Aumentada;REALIDADE AUMENTADA MÓVEL NA EDUCAÇÃO: Recursos e Plataformas para desenvolvimento da realidade aumentada móvel na educação
6482186733034818;2021;Atual;Minas Gerais;Realidade Aumentada;Realidade Virtual (Rv), Realidade Aumentada (Ra) E Arte: Potencializando O Processo De Ensino/Aprendizagem
1229329519982110;2010;2012;Minas Gerais;Realidade Aumentada;FAPEMIG (APQ-01156-10) Desenvolvimento de um sistema de realidade aumentada imersiva para simulação e treinamento de usuários de próteses de membros superiores
3914159735707328;2011;2014;Rio Grande do Sul;Realidade Aumentada;Alfa Gaviota: Grupos Académicos para la VIsualización Orientada por Tecnologías Apropiadas - Edital Alfa III (Comunidade Européia)
5021830666471504;2018;Atual;Distrito Federal;Realidade Aumentada;Elaboração de aplicativo mobile em Realidade Aumentada como recurso didático para o ensino de Reações Químicas
9306302347633373;2019;2020;Minas Gerais;Realidade Aumentada;Desenvolvimento de jogos e aplicativos em realidade virtual e realidade aumentada para área educacional com ênfase no ensino de matemática
4791589931798048;2015;2017;Rio de Janeiro;Realidade Aumentada;Projeto Universal - Classe B: Ambientes Virtuais Esportivos Para Deficientes Físicos baseado em novos dispositivos de games com Realidade Virtual e Captura de Elementos Reais
9459123297426461;2019;2020;Rio Grande do Sul;Realidade Aumentada;Espaços Ressignificados: Análise das Possibilidades da Realidade Aumentada Para a Comunicação
7286663892055106;2011;2012;São Paulo;Realidade Aumentada;?Introdução da realidade aumentada como ferramenta auxiliar no ensino de Dentística
1882712230914196;2014;Atual;Pernambuco;Realidade Aumentada;Aspectos Teóricos e Práticos da Ciência Cognitiva para o auxilio no Projeto de Produto
9138713186222689;2016;2017;Paraná;Realidade Aumentada;A tecnologia Realidade Aumentada (RA) no ensino de geografia: desafios e possibilidades.
7206645857721831;2008;2010;Goiás;Realidade Aumentada;O ensino de neuroanatomia através de peças anatômicas virtuais: Uma abordagem interativa com Realidade Aumentada.
9375430645513797;2018;Atual;Distrito Federal;Realidade Aumentada;ELABORAÇÃO DE APLICATIVO MOBILE EM REALIDADE AUMENTADA COMO RECURSO DIDÁTICO PARA O ENSINO DE REAÇÕES QUÍMICAS
9375430645513797;2016;2017;Distrito Federal;Realidade Aumentada;Arquitetura Molecular e Realidade Aumentada como Recursos Didáticos no Ensino Multidisciplinar de Ciências
4566977125542380;2019;2023;Paraná;Realidade Aumentada;Análise do desenvolvimento e aprendizagem motora na primeira infância: conhecimento do professor de Educação Física escolar
8886697697917438;2019;Atual;Minas Gerais;Realidade Aumentada;Realidade aumentada: buscando formas de promover a leitura e a aprendizagem
3683706649252319;2019;2020;São Paulo;Realidade Aumentada;Realidade Aumentada Adaptativa Móvel com Técnicas de Gamificação Aplicada no Ensino
305629481310082;2021;2022;Pernambuco;Realidade Aumentada;Rewind Recife - Realidade Aumentada: enriquecendo a experiência do cidadão e turista a partir do resgate do patrimônio histórico e cultural
543232182796499;2023;Atual;Ceará;Realidade Aumentada;IMPLEMENTAÇÃO DE REALIDADE AUMENTADA E REALIDADE VIRTUAL NA OTIMIZAÇÃO DE PROCESSOS DE ENSINO DE CIÊNCIAS E ENGENHARIAS
543232182796499;2022;Atual;Rio de Janeiro;Realidade Aumentada;Metodologias didáticas e inovadoras de Realidade Aumentada e Realidade Virtual nos processos de ensino de Ciências e Engenharias
4134919454057451;2020;2021;Paraná;Realidade Aumentada;Desenvolvimento de protótipo para validação do Project North Star
987947348533817;2009;2011;Goiás;Realidade Aumentada;PROJETO DE PESQUISA - Engine de captura de marcadores naturais em tempo real em sistemas de Realidade Aumentada
8901320181295016;2022;Atual;São Paulo;Realidade Aumentada;Tecnologias Imersivas em Saúde e Educação
8901320181295016;2010;2011;São Paulo;Realidade Aumentada;Atlas Anatômico 3D Interativo para Treinamento a Distância
8901320181295016;2008;2010;São Paulo;Realidade Aumentada;Interface-AR   (2008-03)
