BIM, Metaverso e Inovação 4.0 aplicados à Arquitetura e Engenharia;UFF;Ercilia de Stefano;Engenharia de Produção;metaverso
Cubo de Inovação - Laboratório de Pesquisa e Produção em Ambientes Imersivos;FGV;Alessandra Cristina da Silva Maia Cardoso Monteiro;Comunicação;metaverso
Direito Digital, Mercado e Regulação;USCS;Gabrielle Jacobi Kölling;Direito;metaverso
GRUPO DE PESQUISA COGITARE: Estudos em Formação, Política e Trabalho Humano;UFRJ;Gustavo de Oliveira Figueiredo;Educação;metaverso
Grupo de Pesquisa em Engenharia de Software Aplicada;IFPB;Heremita Brasileiro Lira;Ciência da Computação;metaverso
Grupo Metaverso (Grupo de Estudos e Pesquisas sobre Inovação em Tecnologias, Educação e Linguagens);GDF;Luciene Pereira;Educação;metaverso
OHEIM - Observatory of Higher Education Institutions and Modernities;USP;Rafael de Freitas Souza;Administração;metaverso
studioKEM - Modelos e sistemas computacionais apoiados em engenharia e gestão do conhecimento;UFSC;Fernando Alvaro Ostuni Gauthier;Ciência da Computação;metaverso
