lattes id;coordenador;ano inicio;ano fim;titulo;tipo
0975672862006480;Regina Maria de Souza;2019;2020;SMART CONTRACTS FRENTE À LEGISLAÇÃO BRASILEIRA: AS VANTAGENS E DESVANTAGENS DA TECNOLOGIA PARA O DIREITO CONTRATUAL;Contratos Inteligentes
6177045546956476;Diogo Menezes Ferrazani Mattos;2023;Atual;GT-SmartMed: Dados Médicos Distribuídos com Controle de Acesso baseado em Atributos através de Contratos Inteligentes;Contratos Inteligentes
1246085373474860;Katyusco de Farias Santos;2019;Atual;Uso e Potencialidades de SmartContracts (Contratos Inteligentes);Contratos Inteligentes
6653688230110966;Fábio Paulo Basso;2019;2022;Fundações para Automação da Transferência de Tecnologia por Contratos Inteligentes no MDE como um Serviço;Contratos Inteligentes
8119805151400395;Diogo Menezes Ferrazani Mattos;2023;Atual;GT-SmartMed: Dados Médicos Distribuídos com Controle de Acesso baseado em Atributos através de Contratos Inteligentes;Contratos Inteligentes
