4321649532287831;2010;2012;Pernambuco;Augmented Reality;ARVS - Hybrid model based markerless 3D tracking for augmented reality and visual servoing
4321649532287831;2007;2011;Pernambuco;Augmented Reality;TechPetro
1916245590298485;2010;2011;None;Augmented Reality;Hybrid model based markerless 3D tracking for augmented reality and visual servoing
649930882307115;2019;Atual;Ceará;Augmented Reality;Augmented Reality Training Arcade (ARTRADE) Ano II
813823100105934;2007;2009;São Paulo;Augmented Reality;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade
4340581249924621;2019;2022;Pernambuco;Augmented Reality;A Constituição do Conhecimento Matemático com a Realidade Aumentada
3355272528185691;2019;Atual;None;Augmented Reality;Viajero Project
4794107935753176;2012;2014;Minas Gerais;Augmented Reality;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality
3767009717402045;2007;2012;Minas Gerais;Augmented Reality;Título: Realidade Virtual e Realidade Aumentada na Visualização da Informação
3683706649252319;2007;2009;Minas Gerais;Augmented Reality;Realidade Virtual e Realidade Aumentada na Visualização da Informação
9801031941805250;2019;2020;Minas Gerais;Augmented Reality;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies
4006878042502781;2019;Atual;Paraná;Augmented Reality;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems
2227324756659206;2005;2007;None;Mixed Reality;Desenvolvimento e instalação de um sistema de realidade mista (Mixed Reality), em cooperação com a Universidade de Bremen (Alemanha) e o SENAI-RS, no SENAI Mecatrônica em Caxias do Sul.
4791589931798048;2020;Atual;Rio de Janeiro;Mixed Reality;(CNPQ PQ1D) Deep Learning e Aprendizagem de Máquina para Interfaces Tangíveis, Imersão e Composição em Realidade
3191129244573056;2018;2019;Minas Gerais;Mixed Reality;Mixed Reality Aplicada a Visualização de Espaços Físicos
584425766553916;2014;Atual;Rio Grande do Sul;Realidade Aumentada;ARt[in]Muzz
6001559184049370;2019;2020;Bahia;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação (ATO II)
6001559184049370;2019;2020;Bahia;Realidade Aumentada;Construção dramatúrgica em ambientes híbridos de Dança Digital: Um estudo empírico sobre a estética interativa
6001559184049370;2018;2019;Bahia;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação
3827444548540732;2022;Atual;Santa Catarina;Realidade Aumentada;Ferramenta de Autoria de Realidade Aumentada na Educação
9844015070032232;2014;2016;São Paulo;Realidade Aumentada;X-factory - inovação em processos industriais versáteis com modelo de fábrica inteligente para inclusão produtiva e aumento de competitividade
8064558616443413;2005;2007;Mato Grosso;Realidade Aumentada;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005
4186515742605446;2013;2017;Ceará;Realidade Aumentada;Sistemas inteligentes aplicados na área biomédica
116830050245232;2022;Atual;Sergipe;Realidade Aumentada;Inteligência artificial e metaverso nas linguagens e na educação: lugares-comuns da era pós-digital (Fase 2 do projeto guarda-chuva do grupo de pesquisa TECLA)
116830050245232;2019;2021;None;Realidade Aumentada;Realidade Aumentada em STEM (Financiamento do Provost Reserach Awards - University of Miami)
116830050245232;2018;2021;Sergipe;Realidade Aumentada;Tecnologias em sala de aula: o pós-digital em questão (projeto guarda-chuva do grupo de pesquisa TECLA/UFS)
409865244128616;2011;2015;São Paulo;Realidade Aumentada;Rede Cooperativa de Pesquisa FINEP - TICHIS
4465619366143200;2019;Atual;Distrito Federal;Realidade Aumentada;Qualidade de Experiência em Vídeos Imersivos - Bolsa PQ
48790978449306;2011;2012;Santa Catarina;Realidade Aumentada;Metodologia para Software 3D Interativo
9329438229733907;2015;2018;None;Realidade Aumentada;Utilização de Tecnologias Interativas na Educação
4611623889620565;2016;2018;Pernambuco;Realidade Aumentada;Desenvolvimento e aplicação de e-books interativos
2413369452452350;2022;Atual;Pará;Realidade Aumentada;DESENVOLVIMENTO DE UM APLICATIVO COM REALIDADE AUMENTADA PARA AUXÍLIO NO ENSINO DO CICLO DE REPRODUÇÃO DO MOSQUITO Aedes aegypti.
1584574231456379;2022;Atual;Rio Grande do Sul;Realidade Aumentada;Tecnoexperiências em realidade virtual e aumentada: uma visão sob a perspectiva da comunicação publicitária
3195170463502606;2017;Atual;None;Realidade Aumentada;SGP+ AR: Acompanhamento e Governança de Obras com Realidade Aumentada
3195170463502606;2010;2013;None;Realidade Aumentada;Pesquisa e Desenvolvimento de Ambiente Baseado em Técnicas de Realidade Virtual e Aumentada para Simulação de Processos em Subestações de Energia
3195170463502606;2009;2011;None;Realidade Aumentada;Realidade Aumentada Sem Marcadores com Rastreamento Baseado em Modelo
2259041691301555;2007;2010;Santa Catarina;Realidade Aumentada;Uso da tecnologia de realidade virtual para reabilitação motora (DPPG 2023/2007)
7229833456758124;2014;Atual;Rio Grande do Sul;Realidade Aumentada;Modela Pelotas IV
6495915655298176;2018;2018;Santa Catarina;Realidade Aumentada;Desenvolvimento de livro educativo digital interativo utilizando recursos de realidade aumentada
3196052576107598;2019;2020;None;Realidade Aumentada;Estudo e desenvolvimento de um arcabouço para teleoperação avançada de equipamentos de mineração: Monitoramento de Correias Transportadoras - FASE II
3196052576107598;2019;Atual;None;Realidade Aumentada;XR4Good - Realidade Estendida para o bem
3196052576107598;2019;Atual;None;Realidade Aumentada;Avaliação do Uso de Realidade Estendida para processos Industriais: Estudo de caso Correias Transportadoras
