Unnamed: 0;INSTITUICAO;GRUPO;DATA_CRIACAO;LIDER;LIDER2;AREA;BUSCA;ESTADO
;Universidade Federal Rural do Rio de Janeiro;Água e Solos em Agroecossistemas;07/12/2022;Rosane Ferreira de Oliveira;Rosane Ferreira de Oliveira;Ciências Agrárias;NFT;Rio de Janeiro
;FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS;Indústria 4.0;24/06/2022;Fábio Lima;-;Engenharias;NFT;São Paulo
;Universidade Tecnológica Federal do Paraná;LAIPSE - Laboratório de Análise Inteligente em Processos e Sistemas ;28/04/2023;Narco Afonso Ravazzoli ;-;Engenharias;NFT;Paraná
;Universidade Federal do Sul e Sudeste do Pará;GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM ;02/05/2023;Maria Rita Vidal;Maria Rita Vidal;Ciências Humanas;Realidade Aumentada;Pará
;Universidade Federal do Piauí;[AVC Group] Applied Visual Computing Group / Grupo de Computação Visual ;21/09/2022;Laurindo de Sousa Britto Neto;-;Ciências Exatas e da Terra;Realidade Aumentada;Piauí
;Universidade Federal de Alfenas;Análise Espacial e Dinâmica Ambiental;22/11/2021;Lineo Aparecido Gaspar Junior;Lineo Aparecido Gaspar Junior;Ciências Humanas;Realidade Aumentada;Minas Gerais
;Centro Universitário Academia - UniAcademia;Cidade, memória e interatividade;20/07/2022;Thiago Luiz Berzoini Machado;-;Ciências Sociais Aplicadas;Realidade Aumentada;Minas Gerais
;Universidade Federal do Rio Grande do Sul;Computação Gráfica, Processamento de Imagens e Interação;11/08/2022;Carla Maria Dal Sasso Freitas;-;Ciências Exatas e da Terra;Realidade Aumentada;Rio Grande do Sul
;Insper Instituto de Ensino e Pesquisa;Computação Visual;19/09/2022;Luciano Pereira Soares;-;Engenharias;Realidade Aumentada;São Paulo
;Universidade Estadual de Campinas;Computação Visual;19/04/2023;José Mario De Martino;-;Ciências Exatas e da Terra;Realidade Aumentada;São Paulo
;Universidade Estadual do Oeste do Paraná;Computação Visual Aplicada;26/04/2023;Fabiana Frata Furlan Peres;-;Ciências Exatas e da Terra;Realidade Aumentada;Paraná
